tier,bear_max,cagr,mdd,sharpe,calmar,total_return,n_days,escape_pct,d_cal
Tier1_strict_d10,None,1.4175681054360205,-0.3398643239671675,1.8875298759642554,4.170982375817017,1129.7966189040937,2004,0.0,0.0
Tier1_strict_d10,15,1.4936663401734696,-0.33653501286667353,1.9465433036474058,4.4383683214715655,1446.3796129511727,2004,0.0,0.26738594565454843
Tier1_strict_d10,20,1.3136267068499716,-0.35737831539395837,1.8098791857218042,3.675731431555623,795.8569447484981,2004,0.0,-0.49525094426139393
Tier1_strict_d10,25,1.497869989196198,-0.336535012866673,1.9449552894189917,4.4508592922829635,1465.9263578287462,2004,0.0,0.2798769164659465
Tier1_strict_d10,30,1.4211302335801843,-0.336535012866673,1.8902831365403878,4.222830253157646,1143.134839816598,2004,0.0,0.05184787734062901
Tier1_strict_d10,40,1.40398465459472,-0.3398643239671675,1.8798533504670594,4.131015100985862,1080.1734817534618,2004,0.0,-0.03996727483115503
Tier1_strict_d10,45,1.4122174735923991,-0.3398643239671675,1.8865497635662583,4.1552389409628825,1110.0169454937761,2004,0.0,-0.01574343485413454
Tier1_strict_d10,50,1.3440975039408065,-0.3398643239671675,1.8310975752513567,3.9548061068941522,883.3764779224691,2004,0.0,-0.2161762689228648
Tier1_strict_d10,60,1.5088039639830293,-0.3398643239671675,1.9490230041434808,4.439430259613795,1517.8538060404521,2004,0.0,0.2684478837967781
Tier1_strict_d10,75,1.4382932600858984,-0.3398643239671675,1.9027184417495957,4.2319630471859835,1209.348174449222,2004,0.0,0.060980671368966455
Tier1_strict_d10,90,1.4175681054360205,-0.3398643239671675,1.8875298759642554,4.170982375817017,1129.7966189040937,2004,0.0,0.0
Tier1_strict_d10,120,1.4175681054360205,-0.3398643239671675,1.8875298759642554,4.170982375817017,1129.7966189040937,2004,0.0,0.0
Tier1_strict_d10,150,1.4175681054360205,-0.3398643239671675,1.8875298759642554,4.170982375817017,1129.7966189040937,2004,0.0,0.0
Tier1_strict_d10,180,1.4175681054360205,-0.3398643239671675,1.8875298759642554,4.170982375817017,1129.7966189040937,2004,0.0,0.0
Tier1_strict_d10,240,1.4175681054360205,-0.3398643239671675,1.8875298759642554,4.170982375817017,1129.7966189040937,2004,0.0,0.0
Tier2_GOLDESC_d5,None,1.8791312889180571,-0.2907535862591706,2.192615832668381,6.46296856762773,4546.217127185635,2004,0.0,0.0
Tier2_GOLDESC_d5,15,1.8523304057782508,-0.2907535862591707,2.1761541255851484,6.370791258709113,4219.823115976056,2004,0.05538922155688623,-0.09217730891861642
Tier2_GOLDESC_d5,20,1.877723168147611,-0.2907535862591707,2.198232071953144,6.458125563664945,4528.534854679722,2004,0.04241516966067864,-0.00484300396278492
Tier2_GOLDESC_d5,25,1.8123638261301656,-0.2907535862591706,2.159934281734579,6.233332663056713,3771.1473206114215,2004,0.031936127744510975,-0.22963590457101635
Tier2_GOLDESC_d5,30,1.7790352627711248,-0.2907535862591707,2.1603331696768264,6.118704452317007,3429.4678700770614,2004,0.029940119760479042,-0.34426411531072265
Tier2_GOLDESC_d5,40,1.7609050468391656,-0.29075358625917036,2.120432200749983,6.056348502850588,3255.2207124523948,2004,0.01996007984031936,-0.4066200647771421
Tier2_GOLDESC_d5,45,1.8938714071019978,-0.2907535862591706,2.2059809570645412,6.513664823428343,4734.968811696253,2004,0.015968063872255488,0.05069625580061299
Tier2_GOLDESC_d5,50,1.8930643238559464,-0.2907535862591707,2.195578019518933,6.5108889909564684,4724.459368895598,2004,0.014471057884231538,0.04792042332873869
Tier2_GOLDESC_d5,60,1.8159443970812168,-0.29075358625917036,2.154313068945213,6.245647458540821,3809.5665739192386,2004,0.00998003992015968,-0.2173211090869085
Tier2_GOLDESC_d5,75,1.928664573740587,-0.2907535862591708,2.226678469250041,6.633330300598327,5207.915797228795,2004,0.00998003992015968,0.17036173297059687
Tier2_GOLDESC_d5,90,1.894364014125526,-0.2907535862591707,2.2048095339469342,6.515359065724252,4741.393338457447,2004,0.00499001996007984,0.05239049809652219
Tier2_GOLDESC_d5,120,1.877940313667847,-0.2907535862591707,2.192914706935296,6.45887240061038,4531.257700685852,2004,0.003992015968063872,-0.004096167017349828
Tier2_GOLDESC_d5,150,1.8684355860974984,-0.2907535862591707,2.1858230996353223,6.426182425251396,4413.406088022106,2004,0.00249500998003992,-0.03678614237633404
Tier2_GOLDESC_d5,180,1.8916319628211493,-0.2907535862591706,2.201065293556263,6.505962616519526,4705.858069338106,2004,0.00249500998003992,0.04299404889179659
Tier2_GOLDESC_d5,240,1.8440389637908288,-0.2907535862591708,2.17158086820416,6.342274183153485,4123.087156374979,2004,0.00249500998003992,-0.12069438447424474
