split,cut,spec,is_cagr,is_mdd,is_cal,oos_cagr,oos_mdd,oos_cal
50/50,2022-05-25,T1_None,1.0509954533896164,-0.3398643239671675,3.0923971104750247,1.8474091194161182,-0.33653501286667276,5.489500494107632
50/50,2022-05-25,T1_bm60,1.1896749857919864,-0.3398643239671675,3.500440916849262,1.8725666526291236,-0.3365350128666732,5.564255073129606
50/50,2022-05-25,T2GE_None,1.5052999082695173,-0.2759452141880976,5.455068002170287,2.3065357399662405,-0.2907535862591706,7.932957146434822
50/50,2022-05-25,T2GE_bm90,1.5052999082695173,-0.2759452141880976,5.455068002170287,2.3415316585872756,-0.2907535862591707,8.05331995630173
70/30,2023-12-28,T1_None,0.9541479792809568,-0.3398643239671675,2.807437886222892,2.9615742980222084,-0.29810371639706534,9.934711092556388
70/30,2023-12-28,T1_bm60,1.0605237523178523,-0.3398643239671675,3.120432706612372,2.961574298022207,-0.29810371639706545,9.934711092556379
70/30,2023-12-28,T2GE_None,1.392903501641682,-0.2828274699118124,4.924922964788389,3.4228683214635955,-0.2907535862591706,11.772402760365388
70/30,2023-12-28,T2GE_bm90,1.4110395191136584,-0.2828274699118122,4.9890469251577,3.422868321463591,-0.2907535862591707,11.772402760365368
30/70,2020-10-21,T1_None,0.5804124298745228,-0.3398643239671675,1.7077768654841023,1.8983266595635806,-0.33653501286667276,5.6407998781263595
30/70,2020-10-21,T1_bm60,0.7626308356908322,-0.3398643239671675,2.2439273024858766,1.9166144338028213,-0.3365350128666732,5.69514124987089
30/70,2020-10-21,T2GE_None,1.063390065674183,-0.2759452141880976,3.8536274992228168,2.3188952985421443,-0.2907535862591706,7.975465851950449
30/70,2020-10-21,T2GE_bm90,1.063390065674183,-0.2759452141880976,3.8536274992228168,2.3439751877914716,-0.2907535862591707,8.061724080342414
60/40,2023-03-14,T1_None,0.7963516107688395,-0.3398643239671675,2.343145645512857,2.771136534143176,-0.33653501286667276,8.234318653913835
60/40,2023-03-14,T1_bm60,0.9108483505670961,-0.3398643239671675,2.680035197383908,2.7711365341431735,-0.3365350128666732,8.234318653913817
60/40,2023-03-14,T2GE_None,1.3106168296597969,-0.2759452141880976,4.749554484994319,3.0019786194193934,-0.2907535862591706,10.324820608553058
60/40,2023-03-14,T2GE_bm90,1.3310439729770338,-0.2759452141880976,4.823580567951905,3.0019786194193907,-0.2907535862591707,10.324820608553043
