tier,bear_max,crisis,total_ret,mdd,n_days
T1,None,2018_Q4,-0.10870012966725406,-0.1846634913945856,65
T1,None,2020_Covid,-0.28555190959699306,-0.3398643239671675,51
T1,None,2022_full,-0.023839211596981547,-0.30836475456171564,251
T1,None,2024_08_carry,0.1867123804395332,-0.27833495412309195,44
T1,None,2025_tariff,0.22971797109898562,-0.20368285814430376,62
T1,60,2018_Q4,-0.10870012966725406,-0.1846634913945856,65
T1,60,2020_Covid,-0.28555190959699306,-0.3398643239671675,51
T1,60,2022_full,0.01104608558191944,-0.30836475456171575,251
T1,60,2024_08_carry,0.18671238043953298,-0.27833495412309206,44
T1,60,2025_tariff,0.22971797109898495,-0.20368285814430387,62
T1,45,2018_Q4,-0.10870012966725406,-0.1846634913945856,65
T1,45,2020_Covid,-0.28555190959699306,-0.3398643239671675,51
T1,45,2022_full,-0.020644633094539788,-0.30836475456171575,251
T1,45,2024_08_carry,0.18671238043953275,-0.2783349541230923,44
T1,45,2025_tariff,0.2297179710989854,-0.20368285814430365,62
T1,30,2018_Q4,-0.10870012966725406,-0.1846634913945856,65
T1,30,2020_Covid,-0.24524055221526386,-0.2984498026859612,51
T1,30,2022_full,-0.012968442357390586,-0.30836475456171575,251
T1,30,2024_08_carry,0.18671238043953275,-0.27833495412309217,44
T1,30,2025_tariff,0.22971797109898584,-0.20368285814430354,62
T2GE,None,2018_Q4,-0.07446346846961138,-0.1803557649398282,65
T2GE,None,2020_Covid,-0.13193483335437295,-0.24534984627258583,51
T2GE,None,2022_full,0.1845715845418825,-0.24073384744136594,251
T2GE,None,2024_08_carry,0.12956519081547047,-0.12890262643268469,44
T2GE,None,2025_tariff,0.22604834198965085,-0.20353829769955734,62
T2GE,90,2018_Q4,-0.07446346846961138,-0.1803557649398282,65
T2GE,90,2020_Covid,-0.13193483335437295,-0.24534984627258583,51
T2GE,90,2022_full,0.23541591138717544,-0.24073384744136594,251
T2GE,90,2024_08_carry,0.12956519081546958,-0.12890262643268469,44
T2GE,90,2025_tariff,0.22604834198965063,-0.20353829769955734,62
T2GE,60,2018_Q4,-0.07446346846961138,-0.1803557649398282,65
T2GE,60,2020_Covid,-0.13193483335437373,-0.24534984627258638,51
T2GE,60,2022_full,0.07624344940221839,-0.24073384744136606,251
T2GE,60,2024_08_carry,0.12956519081547002,-0.12890262643268469,44
T2GE,60,2025_tariff,0.2260483419896504,-0.20353829769955745,62
