tier,year,bear_max,ret,mdd,escape_days
T1,2018,None,-0.14727270384306523,-0.20847400683998785,0
T1,2018,60,-0.14727270384306523,-0.20847400683998785,0
T1,2019,None,0.9270294597139792,-0.3316976308235172,0
T1,2019,60,0.9270294597139792,-0.3316976308235172,0
T1,2020,None,1.6910756216622125,-0.3398643239671675,0
T1,2020,60,2.489858198428878,-0.3398643239671675,10
T1,2021,None,3.0129208558047447,-0.21870353080535265,0
T1,2021,60,3.0129208558047456,-0.21870353080535287,0
T1,2022,None,-0.023839211596981547,-0.30836475456171564,0
T1,2022,60,0.01104608558191944,-0.30836475456171575,10
T1,2023,None,1.3142357179243191,-0.33653501286667276,0
T1,2023,60,1.314235717924316,-0.3365350128666732,0
T1,2024,None,1.3899467979315099,-0.27833495412309195,0
T1,2024,60,1.3899467979315077,-0.27833495412309206,0
T1,2025,None,3.813524454620528,-0.29810371639706534,0
T1,2025,60,3.813524454620529,-0.29810371639706545,0
T1,2026,None,1.3611977154412047,-0.27115906218350205,0
T1,2026,60,1.3611977154412052,-0.27115906218350194,0
T2GE,2018,None,-0.12978805520163572,-0.20644670217666328,0
T2GE,2018,90,-0.12978805520163572,-0.20644670217666328,0
T2GE,2019,None,1.4267356461208878,-0.2759452141880976,0
T2GE,2019,90,1.4267356461208878,-0.2759452141880976,0
T2GE,2020,None,2.306516051556989,-0.24534984627258583,0
T2GE,2020,90,2.306516051556989,-0.24534984627258583,0
T2GE,2021,None,4.125674115405182,-0.21870353080535276,0
T2GE,2021,90,4.125674115405182,-0.21870353080535276,0
T2GE,2022,None,0.1845715845418825,-0.24073384744136594,0
T2GE,2022,90,0.23541591138717544,-0.24073384744136594,10
T2GE,2023,None,1.8475459222868942,-0.2828274699118124,0
T2GE,2023,90,1.847545922286896,-0.2828274699118122,0
T2GE,2024,None,1.6471979488474413,-0.19704478973006678,0
T2GE,2024,90,1.6471979488474364,-0.1970447897300669,0
T2GE,2025,None,3.456597841833415,-0.20353829769955734,0
T2GE,2025,90,3.456597841833415,-0.20353829769955734,0
T2GE,2026,None,1.9986254053555603,-0.2907535862591706,0
T2GE,2026,90,1.998625405355558,-0.2907535862591707,0
