variant,n_slots,hold_days,cagr,mdd,calmar,sharpe,vol,final
BASELINE_BUBE,1,1,1.0325970058332703,-0.4204409954779216,2.4559855412279714,1.559005080739769,0.5548055194168932,28408354.07
N1_H7,1,7,0.9124348929760684,-0.4857977388099747,1.8782197200242172,1.465006057633535,0.544667322725665,17485216.8258585
N3_H7,3,7,1.0706811755050278,-0.33594645086172714,3.187059046936357,1.7198159932134738,0.4957440243784082,32934779.606314927
N3_H14,3,14,1.222538146196555,-0.3694944110143872,3.3086783175969403,1.7977769850399365,0.5205519740199053,57869364.185771674
N3_H30,3,30,1.2990953702885117,-0.45126747980898374,2.8787701937626964,1.7571860176438643,0.5661472222273932,75785712.3500433
N5_H7,5,7,1.1129154327181006,-0.317296803983912,3.5074902071012635,1.787048436188108,0.48554979127053904,38680644.15472942
N5_H14,5,14,1.178670927839209,-0.38374245338071244,3.0715155893107418,1.7595813376691352,0.5205808587764443,49373756.24566299
N5_H30,5,30,1.2727300487624023,-0.45366983441412423,2.8054103495905216,1.7275568690672267,0.5706768060511415,69134139.11065334
N7_H7,7,7,1.1065175816542339,-0.31336056253379674,3.5311322289794944,1.7896328501284757,0.4823530634051328,37757597.95589807
N7_H14,7,14,1.1660102601097924,-0.37278295101941006,3.1278529689226064,1.7491653870726545,0.5203858301306902,47134317.92662643
N7_H30,7,30,1.2455072397990539,-0.4560720585734993,2.730943973403561,1.7197171175604544,0.5640206575261826,62807523.796175465
N10_H7,10,7,0.7773032542342047,-0.26163906475672816,2.970899070278136,1.7746038637586548,0.36172875809912436,9754449.417586673
N10_H14,10,14,1.153387684801221,-0.36591480664279663,3.152066174592245,1.7455329318671264,0.517192908011786,44990549.102672696
N10_H30,10,30,1.2595803589194112,-0.43834588034912814,2.8734851070487917,1.74508577498873,0.5574085387682352,66011826.546190865
N14_H7,14,7,0.4874678523334519,-0.19260357655725024,2.5309387346114782,1.6543143820208839,0.261255845887393,2362886.94103885
N14_H14,14,14,1.177429387028321,-0.33891250011774854,3.4741397458613834,1.7651197384261859,0.5179477425918452,49150112.19707117
N14_H30,14,30,1.2272154757967564,-0.42954150790070356,2.857035823602989,1.7283754568996526,0.5529999461213577,58846455.70857647
N30_H7,30,7,0.23933920132413333,-0.11600012068951648,2.0632668302539416,1.7090551486355903,0.1308584945967295,552337.6722160401
N30_H14,30,14,0.5385837428675335,-0.22342175795192887,2.410614560572093,1.748300447374027,0.26746048658544413,3092495.5764029934
N30_H30,30,30,1.1512972742823253,-0.4585570236307527,2.5106959766238215,1.6784282740299825,0.546763093238696,44643878.97030207
